vehicle_id,mode,raw_data_kb,compressed_kb,compression_time_ms,distance_m,irs_gain_db,snr_db,datarate_mbps,mac_delay_ms,tx_delay_ms,prop_delay_ms,processing_delay_ms,handover_delay_ms,total_latency_ms,energy_consumption_mj,packet_success
27,semantic,1000.0,100.0,8.0,250.0,0.0,17.224159593716365,114.97647342716823,10.852403808557257,7.124935872371505,0.0008333333333333333,3.0,0.0,28.978173014262094,41.42161160427128,True
8,semantic,1000.0,100.0,8.0,130.3683820393543,0.0,27.717960712366434,184.20290235189557,4.557269774474158,4.447269774474158,0.0004345612734645143,3.0,0.0,20.00497411022178,40.887346978550845,True
48,semantic,1000.0,100.0,8.0,250.0,0.0,19.035262876092247,126.82562955425382,6.595262239652911,6.459262239652911,0.0008333333333333333,3.0,0.0,24.055357812639155,41.28879225292809,True
22,semantic,1000.0,100.0,8.0,80.79964743000203,0.0,29.608177784597572,196.74403613022906,4.286785678655866,4.163785678655866,0.0002693321581000067,3.0,0.0,19.450840689469832,40.83078446522292,True
41,semantic,1000.0,100.0,8.0,166.84193255033833,0.0,20.736855533385494,138.01517540847263,6.058579167837728,5.935579167837727,0.0005561397751677944,3.0,0.0,22.99471447545062,41.18430374311009,True
33,semantic,1000.0,100.0,8.0,250.0,0.0,25.250276732439772,167.84521349901408,4.938687288737083,4.880687288737083,0.0008333333333333333,3.0,0.0,20.820207910807497,40.97382514183647,True
48,semantic,1000.0,100.0,8.0,250.0,0.0,17.224159593716365,114.97647342716823,7.221935872371505,7.124935872371505,0.0008333333333333333,3.0,0.0,25.34770507807634,41.42161160427128,True
15,semantic,1000.0,100.0,8.0,250.0,0.0,25.21509722164248,167.61218435036642,4.958472847961898,4.887472847961898,0.0008333333333333333,3.0,0.0,20.846779029257128,40.9751790388972,True
5,semantic,1000.0,100.0,8.0,250.0,0.0,17.224159593716365,114.97647342716823,7.234935872371505,7.124935872371505,0.0008333333333333333,3.0,0.0,25.360705078076343,41.42161160427128,True
40,semantic,1000.0,100.0,8.0,135.77951312679298,0.0,24.468273837160012,162.66663685835525,5.159066496618679,5.036066496618679,0.00045259837708930994,3.0,0.0,21.195585591614446,41.00482736963806,True
33,semantic,1000.0,100.0,8.0,250.0,0.0,17.661520976077384,117.8307884290944,7.062342515241338,6.952342515241337,0.0008333333333333333,3.0,0.0,25.015518363816007,41.3871747021417,True
6,semantic,1000.0,100.0,8.0,250.0,0.0,24.487589979332824,162.794514490339,5.103110587784057,5.032110587784057,0.0008333333333333333,3.0,0.0,21.136054508901445,41.00403806205614,True
28,semantic,1000.0,100.0,8.0,250.0,0.0,27.12112052082429,180.2447578786314,4.628931068406505,4.544931068406505,0.0008333333333333333,3.0,0.0,20.174695470146343,40.906832968492274,True
34,semantic,1000.0,100.0,8.0,250.0,0.0,24.70445458725274,164.23034811758285,5.111115834799809,4.9881158347998085,0.0008333333333333333,3.0,0.0,21.10006500293295,40.99525995478756,True
7,semantic,1000.0,100.0,8.0,250.0,0.0,17.224159593716365,114.97647342716823,10.793903808557257,7.124935872371505,0.0008333333333333333,3.0,0.0,28.919673014262095,41.42161160427128,True
47,semantic,1000.0,100.0,8.0,170.32018138676523,0.0,26.850374547096337,178.44955482010027,4.674653088632567,4.590653088632568,0.000567733937955884,3.0,0.0,20.26587391120309,40.915955710884404,True
49,semantic,1000.0,100.0,8.0,230.43813072927304,0.0,18.084259244597803,120.594284157965,6.851025106620639,6.7930251066206395,0.0007681271024309102,3.0,0.0,24.64481834034371,41.35538669998776,True
3,semantic,1000.0,100.0,8.0,250.0,0.0,22.141134840562287,147.27821428445353,5.685261899901876,5.562261899901876,0.0008333333333333333,3.0,0.0,22.248357133137084,41.10981715548614,True
45,semantic,1000.0,100.0,8.0,250.0,0.0,17.224159593716365,114.97647342716823,7.195935872371504,7.124935872371505,0.0008333333333333333,3.0,0.0,25.32170507807634,41.42161160427128,True
48,semantic,1000.0,100.0,8.0,250.0,0.0,19.281691734849502,128.44323021285848,6.461914964007107,6.377914964007108,0.0008333333333333333,3.0,0.0,23.840663261347547,41.27256133757595,True
38,semantic,1000.0,100.0,8.0,250.0,0.0,19.78203724843587,131.73081637331867,6.276742300043351,6.218742300043351,0.0008333333333333333,3.0,0.0,23.496317933420034,41.24080221577794,True
35,semantic,1000.0,100.0,8.0,243.78846616802173,0.0,22.351442867278536,148.66718909982973,5.568294537484722,5.5102945374847225,0.0008126282205600724,3.0,0.0,22.079401703190005,41.099448303502214,True
46,semantic,1000.0,100.0,8.0,250.0,0.0,27.444020390331346,182.3860539424536,4.562571489662656,4.491571489662657,0.0008333333333333333,3.0,0.0,20.054976312658646,40.896186332831256,True
41,semantic,1000.0,100.0,8.0,166.84193255033833,0.0,26.49124159359259,176.06865318594248,4.736730541051278,4.6527305410512785,0.0005561397751677944,3.0,0.0,20.390017221877724,40.92834179102644,True
18,semantic,1000.0,100.0,8.0,250.0,0.0,25.23093093259827,167.71706618467266,4.955416467779026,4.884416467779026,0.0008333333333333333,3.0,0.0,20.840666268891383,40.97456921087729,True
49,semantic,1000.0,100.0,8.0,230.43813072927304,0.0,19.03341336633126,126.81349326099289,6.5308804033733,6.4598804033733,0.0007681271024309102,3.0,0.0,23.991528933849033,41.28891559280567,True
21,semantic,1000.0,100.0,8.0,250.0,0.0,25.37863939819495,168.6955353625836,4.940085836766592,4.856085836766592,0.0008333333333333333,3.0,0.0,20.797005006866517,40.96891650683545,True
24,semantic,1000.0,100.0,8.0,250.0,0.0,23.75607127532801,157.95317197941418,5.257347255544606,5.186347255544606,0.0008333333333333333,3.0,0.0,21.444527844422545,41.03481232313304,True
38,semantic,1000.0,100.0,8.0,250.0,0.0,23.949338484783254,159.23194458515317,5.280696324184579,5.1446963241845785,0.0008333333333333333,3.0,0.0,21.42622598170249,41.02650186976044,True
36,semantic,1000.0,100.0,8.0,218.21125084038505,0.0,27.522633524080675,182.90741758861742,4.536768607637812,4.478768607637813,0.0007273708361346168,3.0,0.0,20.01626458611176,40.89363182202854,True
3,semantic,1000.0,100.0,8.0,250.0,0.0,17.224159593716365,114.97647342716823,10.852403808557257,7.124935872371505,0.0008333333333333333,3.0,0.0,28.978173014262094,41.42161160427128,True
7,semantic,1000.0,100.0,8.0,250.0,0.0,24.79227014714455,164.81183352600033,5.0675168765734595,4.970516876573459,0.0008333333333333333,3.0,0.0,21.038867086480252,40.99174850097438,True
5,semantic,1000.0,100.0,8.0,250.0,0.0,23.94591875399992,159.20931556631072,5.268427559223461,5.145427559223461,0.0008333333333333333,3.0,0.0,21.414688451780254,41.02664777033209,True
35,semantic,1000.0,100.0,8.0,243.78846616802173,0.0,19.99342961141697,133.1210094671587,6.211799488743351,6.153799488743351,0.0008126282205600724,3.0,0.0,23.366411605707263,41.22784442137644,True
29,semantic,1000.0,100.0,8.0,250.0,0.0,26.77580531618321,177.95515742023184,4.739406902478819,4.6034069024788185,0.0008333333333333333,3.0,0.0,20.34364713829097,40.91850043129836,True
